City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
218,El Naranjo,MX,2021-12-12 22:41:41,21.4667,-98.6,68.52,51,95,2.24,overcast clouds
219,Fairbanks,US,2021-12-12 22:40:47,64.8378,-147.7164,-8.77,69,1,3.44,light snow
220,Dicabisagan,PH,2021-12-12 22:41:42,17.0818,122.4157,74.88,82,100,12.35,overcast clouds
221,Bredasdorp,ZA,2021-12-12 22:40:22,-34.5322,20.0403,60.28,86,100,3.74,overcast clouds
222,Sawakin,SD,2021-12-12 22:41:42,19.1059,37.3321,80.55,71,3,10.29,clear sky
223,Thinadhoo,MV,2021-12-12 22:41:42,0.5333,72.9333,80.6,75,93,8.14,overcast clouds
224,Turkistan,KZ,2021-12-12 22:41:43,43.0,68.0,44.38,80,100,11.63,overcast clouds
225,Santa Cruz,BO,2021-12-12 22:41:43,-17.8,-63.1667,78.85,83,90,5.75,overcast clouds
226,Husavik,IS,2021-12-12 22:41:43,66.0449,-17.3389,40.91,79,95,13.69,overcast clouds
227,Clyde River,CA,2021-12-12 22:41:44,70.4692,-68.5914,-1.97,92,90,10.36,light snow
228,Kattivakkam,IN,2021-12-12 22:41:44,13.2167,80.3167,80.08,89,46,11.12,scattered clouds
229,Havoysund,NO,2021-12-12 22:41:45,70.9963,24.6622,32.88,98,100,10.07,light snow
230,Beloha,MG,2021-12-12 22:37:17,-25.1667,45.05,72.0,84,55,6.89,broken clouds
231,Souillac,MU,2021-12-12 22:41:45,-20.5167,57.5167,75.58,88,75,17.27,light intensity shower rain
232,Guadalajara,MX,2021-12-12 22:38:37,20.6667,-103.3333,81.99,23,20,10.36,few clouds
233,Kieta,PG,2021-12-12 22:41:45,-6.2167,155.6333,85.1,73,94,2.8,light rain
234,San Carlos De Bariloche,AR,2021-12-12 22:41:46,-41.1456,-71.3082,49.75,57,40,25.32,scattered clouds
235,Liverpool,GB,2021-12-12 22:37:52,53.4106,-2.9779,54.28,81,20,5.99,few clouds
236,San Cristobal,VE,2021-12-12 22:35:06,7.7669,-72.225,75.38,82,70,4.0,broken clouds
237,Olafsvik,IS,2021-12-12 22:41:46,64.8945,-23.7142,41.88,89,99,19.73,light rain
